date,forecast_hour,dry_mass_Eg,water_mass_kg,total_energy_J,pe_cumulative_kg,hydrostatic_rmse,geostrophic_rmse,sp_method
2020-01-01T00:00:00,12.0,5.117557024715964,1.2010781553983488e+16,1.3437104139537018e+24,,223.72733693324298,5.694586273310508,hypsometric_msl_standard_atm
2020-01-01T00:00:00,18.0,5.11754932813457,1.2024816433364992e+16,1.343737219378684e+24,,223.95942126341885,5.665190875961489,hypsometric_msl_standard_atm
2020-01-01T00:00:00,24.0,5.117818708483375,1.1998691221045248e+16,1.343630718254696e+24,,220.55413340133023,5.514470485248844,hypsometric_msl_standard_atm
2020-01-01T00:00:00,30.0,5.117654881250837,1.2019563688361984e+16,1.3435337287331208e+24,,216.2297195471597,5.533610794642708,hypsometric_msl_standard_atm
2020-01-01T00:00:00,36.0,5.117335473122967,1.1994612075855872e+16,1.3435060586170103e+24,,214.2077343138127,5.390389702569139,hypsometric_msl_standard_atm
2020-01-01T00:00:00,42.0,5.117380003343892,1.2013156670898176e+16,1.3435423756444054e+24,,212.8467731797813,5.433040690944016,hypsometric_msl_standard_atm
2020-01-01T00:00:00,48.0,5.117629592483397,1.1989909086666752e+16,1.3434348657141008e+24,,213.39014536275053,5.413673439036321,hypsometric_msl_standard_atm
2020-01-01T00:00:00,54.0,5.117431680390398,1.19978032365568e+16,1.3433430643392965e+24,,213.28990513938365,5.409369159873892,hypsometric_msl_standard_atm
2020-01-01T00:00:00,60.0,5.117096329343926,1.1961305678217216e+16,1.3433323998153789e+24,,214.73534706148354,5.426152039534302,hypsometric_msl_standard_atm
2020-01-01T00:00:00,66.0,5.11709962787881,1.1963410212192256e+16,1.343379957827444e+24,,213.07974563817652,5.51136160027899,hypsometric_msl_standard_atm
2020-01-01T00:00:00,72.0,5.117283796076462,1.1942487279009792e+16,1.3432867153007588e+24,,211.0849671795233,5.627780132866239,hypsometric_msl_standard_atm
2020-01-01T00:00:00,78.0,5.11713921029741,1.1955807046336512e+16,1.343205146104308e+24,,212.06562451715266,5.631651998612414,hypsometric_msl_standard_atm
2020-01-01T00:00:00,84.0,5.116930852843946,1.1932641066483712e+16,1.343186555245046e+24,,213.32022547795128,5.701979069564202,hypsometric_msl_standard_atm
2020-01-01T00:00:00,90.0,5.116972634285801,1.1946834859655168e+16,1.3432325279900423e+24,,208.88405616466272,5.800455923248593,hypsometric_msl_standard_atm
2020-01-01T00:00:00,96.0,5.117347017995059,1.1934079880527872e+16,1.343161911547885e+24,,205.5186749986743,5.848532180368775,hypsometric_msl_standard_atm
2020-01-01T00:00:00,102.0,5.117384951146217,1.1954031077359616e+16,1.3431087330434851e+24,,204.6488199441123,5.89419690881186,hypsometric_msl_standard_atm
2020-01-01T00:00:00,108.0,5.117250810727628,1.1939175859224576e+16,1.3430938891791133e+24,,205.00958235106808,5.888276366004747,hypsometric_msl_standard_atm
2020-01-01T00:00:00,114.0,5.117292592169484,1.195786540941312e+16,1.3431430324582472e+24,,200.44574545463706,5.952993995655556,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120.0,5.11751964132062,1.1950578997395456e+16,1.3430605985706678e+24,,197.83707393878765,5.984021485919387,hypsometric_msl_standard_atm
2020-01-01T00:00:00,126.0,5.117429481367142,1.196476420063232e+16,1.342980902871662e+24,,197.17614507604594,6.1178052043731705,hypsometric_msl_standard_atm
2020-01-01T00:00:00,132.0,5.117162849797407,1.1951914732224512e+16,1.3429666354680423e+24,,201.53011668243948,6.206919802233938,hypsometric_msl_standard_atm
2020-01-01T00:00:00,138.0,5.117171645890429,1.1970157605814272e+16,1.3430206786635708e+24,,199.2600495475258,6.360928728909656,hypsometric_msl_standard_atm
2020-01-01T00:00:00,144.0,5.117525688634573,1.1980033883111424e+16,1.3430108788307816e+24,,197.67546580323702,6.349157913273745,hypsometric_msl_standard_atm
