date,forecast_hour,dry_mass_Eg,water_mass_kg,total_energy_J,pe_cumulative_kg,hydrostatic_rmse,geostrophic_rmse,sp_method
2020-01-01T00:00:00,12.0,5.1142491439838,1.2387289124569088e+16,1.3379835646099435e+24,,230.45969506609177,6.213108574571296,direct_sp
2020-01-01T00:00:00,18.0,5.1142612386117055,1.2378456524324864e+16,1.3380363107687792e+24,,229.04848278582034,6.151810438012458,direct_sp
2020-01-01T00:00:00,24.0,5.114265086902403,1.2377044553826304e+16,1.3378947896540887e+24,,227.2268267257427,6.034004846715919,direct_sp
2020-01-01T00:00:00,30.0,5.114278281041936,1.2367153244143616e+16,1.337783388613706e+24,,222.55314014684282,5.898896262173876,direct_sp
2020-01-01T00:00:00,36.0,5.114275532262867,1.2372731332919296e+16,1.337851410982478e+24,,221.9550844202284,5.722879292166345,direct_sp
2020-01-01T00:00:00,42.0,5.114282679088448,1.2370040535908352e+16,1.3379139569741028e+24,,220.82319415483533,5.710258929181941,direct_sp
2020-01-01T00:00:00,48.0,5.114296422983795,1.2359076558143488e+16,1.3377498097748844e+24,,221.89178363448525,5.568859717473868,direct_sp
2020-01-01T00:00:00,54.0,5.114310716634956,1.2348211364626432e+16,1.3376486409128552e+24,,222.26545381928761,5.414693107850004,direct_sp
2020-01-01T00:00:00,60.0,5.114321711751233,1.2341080645173248e+16,1.3377160868208747e+24,,224.27292158650621,5.36718231330576,direct_sp
2020-01-01T00:00:00,66.0,5.114350848809369,1.2315449354092544e+16,1.3377500980052606e+24,,222.72251807368775,5.427704291338376,direct_sp
2020-01-01T00:00:00,72.0,5.114377237088436,1.2293309871423488e+16,1.337576006858065e+24,,221.33729809804987,5.43229802225105,direct_sp
2020-01-01T00:00:00,78.0,5.114403625367503,1.2269002504011776e+16,1.3374256947169018e+24,,221.9033380086616,5.375527311366399,direct_sp
2020-01-01T00:00:00,84.0,5.114416269751223,1.2259934754308096e+16,1.337458264749407e+24,,224.50201113636268,5.405950033369006,direct_sp
2020-01-01T00:00:00,90.0,5.114442108274475,1.2237552605986816e+16,1.3374692175037007e+24,,221.21510318272854,5.582546166156338,direct_sp
2020-01-01T00:00:00,96.0,5.114470695576797,1.2213057333755904e+16,1.3372638533606926e+24,,219.42100645713276,5.74941146652247,direct_sp
2020-01-01T00:00:00,102.0,5.11449378532098,1.2193829838913536e+16,1.3371034531563642e+24,,218.63403231615948,5.650940984226905,direct_sp
2020-01-01T00:00:00,108.0,5.114500932146561,1.218972385017856e+16,1.337144814215342e+24,,218.0599641312322,5.627823366956386,direct_sp
2020-01-01T00:00:00,114.0,5.114508628727956,1.2184846914813952e+16,1.337211971892985e+24,,212.7403222151773,5.633888445656776,direct_sp
2020-01-01T00:00:00,120.0,5.1145102779953975,1.2185435325333504e+16,1.3370798182655198e+24,,211.34787374884505,5.5671926846753,direct_sp
2020-01-01T00:00:00,126.0,5.114520173600047,1.218236334997504e+16,1.3369590497379122e+24,,210.64595025378966,5.504412008834246,direct_sp
2020-01-01T00:00:00,132.0,5.114508628727956,1.2196324141170688e+16,1.337023036881418e+24,,213.90259293260036,5.595468589587186,direct_sp
2020-01-01T00:00:00,138.0,5.114511927262839,1.220082634063872e+16,1.33710676780569e+24,,,5.728545765720903,direct_sp
2020-01-01T00:00:00,144.0,5.114506979460514,1.2211653953191936e+16,1.3369828287439447e+24,,217.93430168051756,5.645124984212428,direct_sp
2020-01-01T00:00:00,150.0,5.114497633611678,1.2225820902817792e+16,1.3369123564169756e+24,,221.79447562310327,5.643330059382189,direct_sp
2020-01-01T00:00:00,156.0,5.114475093623308,1.2256017744134144e+16,1.3370427806621843e+24,,226.82341357230166,5.600798313790655,direct_sp
2020-01-01T00:00:00,162.0,5.114467397041913,1.2271836108685312e+16,1.3371322761939794e+24,,225.23673606445757,5.767357560406605,direct_sp
2020-01-01T00:00:00,168.0,5.114462449239589,1.2283675186036736e+16,1.3370089135929865e+24,,225.70756873660673,5.924360288247978,direct_sp
