date,forecast_hour,dry_mass_Eg,water_mass_kg,total_energy_J,pe_cumulative_kg,hydrostatic_rmse,geostrophic_rmse,sp_method
2020-01-01T00:00:00,12.0,5.11431841321635,1.238857009856512e+16,1.338009072998233e+24,,271.69441556614447,6.213108574571296,ref_sp
2020-01-01T00:00:00,18.0,5.114201864983806,1.2378441491939328e+16,1.3380220433651597e+24,,271.0946324039529,6.151810438012458,ref_sp
2020-01-01T00:00:00,24.0,5.1142771815303085,1.2377829459099648e+16,1.337903004219809e+24,,271.2975914926388,6.034004846715919,ref_sp
2020-01-01T00:00:00,30.0,5.1141809742628785,1.236719189884928e+16,1.3377598978380497e+24,,266.72482299258417,5.898896262173876,ref_sp
2020-01-01T00:00:00,36.0,5.114296422983795,1.2374005864464384e+16,1.3378656783860974e+24,,264.539069857542,5.722879292166345,ref_sp
2020-01-01T00:00:00,42.0,5.114168329879159,1.2370828662407168e+16,1.3378906103136345e+24,,265.0693049622923,5.710258929181941,ref_sp
2020-01-01T00:00:00,48.0,5.114217258146595,1.2360452021420032e+16,1.3377400099420953e+24,,269.0897447840552,5.568859717473868,ref_sp
2020-01-01T00:00:00,54.0,5.114163931832648,1.2349267926581248e+16,1.3376188090689235e+24,,270.6713533136694,5.414693107850004,ref_sp
2020-01-01T00:00:00,60.0,5.114257390321009,1.23438165393408e+16,1.337718825009448e+24,,271.2728765680669,5.36718231330576,ref_sp
2020-01-01T00:00:00,66.0,5.1142189074140365,1.2317990900989952e+16,1.3377329482978796e+24,,270.4177090507438,5.427704291338376,ref_sp
2020-01-01T00:00:00,72.0,5.114266186414031,1.2296562235408384e+16,1.3375689452138492e+24,,271.01970387004394,5.43229802225105,ref_sp
2020-01-01T00:00:00,78.0,5.1141897703559005,1.2270477825277952e+16,1.337382316045291e+24,,271.9849225159044,5.375527311366399,ref_sp
2020-01-01T00:00:00,84.0,5.114320612239606,1.2262718966857728e+16,1.3374549501000812e+24,,272.3423556294926,5.405950033369006,ref_sp
2020-01-01T00:00:00,90.0,5.1142491439838,1.2240272394027008e+16,1.3374382327382644e+24,,269.46649248905123,5.582546166156338,ref_sp
2020-01-01T00:00:00,96.0,5.114384933669831,1.2216367679799296e+16,1.3372648621670092e+24,,269.076245966502,5.74941146652247,ref_sp
2020-01-01T00:00:00,102.0,5.114296422983795,1.219356247719936e+16,1.3370563274898634e+24,,267.7407593816572,5.650940984226905,ref_sp
2020-01-01T00:00:00,108.0,5.114392630251225,1.2190830877999104e+16,1.3371306909269106e+24,,263.97935955727684,5.627823366956386,ref_sp
2020-01-01T00:00:00,114.0,5.114371739530298,1.2187156533477376e+16,1.3372002985627512e+24,,259.64486382395364,5.633888445656776,ref_sp
2020-01-01T00:00:00,120.0,5.114394829274481,1.2186698045718528e+16,1.3370698743175425e+24,,260.06269032116575,5.5671926846753,ref_sp
2020-01-01T00:00:00,126.0,5.114329408332628,1.2182573803372544e+16,1.3369256150142786e+24,,259.09841792379837,5.504412008834246,ref_sp
2020-01-01T00:00:00,132.0,5.114518524332605,1.2199799843454976e+16,1.3370615156366341e+24,,258.95525035206555,5.595468589587186,ref_sp
2020-01-01T00:00:00,138.0,5.114426165355872,1.2206681454804992e+16,1.3371304026965344e+24,,259.7549311277169,5.728545765720903,ref_sp
2020-01-01T00:00:00,144.0,5.114531168716325,1.2216418145665024e+16,1.3370279367978125e+24,,264.1994182114747,5.645124984212428,ref_sp
2020-01-01T00:00:00,150.0,5.114392630251225,1.2228358154747904e+16,1.336909474113214e+24,,267.4027835253011,5.643330059382189,ref_sp
2020-01-01T00:00:00,156.0,5.114530618960511,1.2259317352759296e+16,1.337084141721162e+24,,270.4496256460281,5.600798313790655,ref_sp
2020-01-01T00:00:00,162.0,5.114432762425639,1.2274580592787456e+16,1.3371442377545897e+24,,269.5708039004567,5.767357560406605,ref_sp
2020-01-01T00:00:00,168.0,5.114547111634928,1.2285773277560832e+16,1.3370489776152715e+24,,271.0001333961856,5.924360288247978,ref_sp
2020-01-01T00:00:00,174.0,5.114364042948903,1.2301091278422016e+16,1.3369345501559393e+24,,270.13155345753466,5.851020971502079,ref_sp
2020-01-01T00:00:00,180.0,5.114524021890745,1.2319384617877504e+16,1.33709552682102e+24,,268.0679556039545,5.824902690800779,ref_sp
2020-01-01T00:00:00,186.0,5.114461899483775,1.2333233739923456e+16,1.3371759430959664e+24,,267.24413330757756,5.7768433832352475,ref_sp
2020-01-01T00:00:00,192.0,5.114550959925625,1.2354209286455296e+16,1.3370837093755978e+24,,270.06032434688154,5.6073061055037305,ref_sp
2020-01-01T00:00:00,198.0,5.114469596065169,1.2387393277526016e+16,1.336987152199587e+24,,269.31237314599264,5.487563038699757,ref_sp
2020-01-01T00:00:00,204.0,5.1145146760419085,1.2413200662265856e+16,1.3371008590829789e+24,,264.4378164917415,5.540762361830821,ref_sp
2020-01-01T00:00:00,210.0,5.114416819507036,1.2421499612823552e+16,1.3371520199747458e+24,,259.25622926920954,5.75919098560101,ref_sp
2020-01-01T00:00:00,216.0,5.114517974576792,1.2428558391574528e+16,1.3370302426408217e+24,,256.95404999106,5.762737419901077,ref_sp
2020-01-01T00:00:00,222.0,5.114455302414008,1.2431818271752192e+16,1.3369123564169756e+24,,254.1383920381787,5.593395568050515,ref_sp
2020-01-01T00:00:00,228.0,5.1145064297047,1.2429367992909824e+16,1.3369940697286146e+24,,250.19415958490845,5.4790989187865735,ref_sp
2020-01-01T00:00:00,234.0,5.114410772193083,1.241675582144512e+16,1.337013669394193e+24,,246.10131043661568,5.567669347765974,ref_sp
2020-01-01T00:00:00,240.0,5.114495984344236,1.23989531820032e+16,1.3368565838391903e+24,,245.28141695969626,5.664523427457886,ref_sp
2020-01-02T00:00:00,12.0,5.114267285925659,1.24021744074752e+16,1.3380125317627467e+24,,269.00208247098146,5.75816832942654,ref_sp
2020-01-02T00:00:00,18.0,5.11413314550707,1.2406456489869312e+16,1.338026366820802e+24,,268.3790448703822,5.728580942196325,ref_sp
2020-01-02T00:00:00,24.0,5.114174377193112,1.240293676417024e+16,1.3378702900721159e+24,,272.53043185510734,5.620468105376122,ref_sp
2020-01-02T00:00:00,30.0,5.114117752344281,1.2396775633584128e+16,1.3377574478798525e+24,,273.4082591835772,5.385077082700376,ref_sp
2020-01-02T00:00:00,36.0,5.114215059123339,1.238659978231808e+16,1.3378444934534503e+24,,273.8181625959247,5.384915718310792,ref_sp
2020-01-02T00:00:00,42.0,5.114183173286134,1.2354335987990528e+16,1.337868848920235e+24,,270.484405390832,5.488896558394567,ref_sp
2020-01-02T00:00:00,48.0,5.114238148867522,1.232664740757504e+16,1.337707151679214e+24,,269.23496845098316,5.474553247273045,ref_sp
2020-01-02T00:00:00,54.0,5.1141628323210195,1.229843484114944e+16,1.3375274400396834e+24,,269.1277858166135,5.330472464760985,ref_sp
2020-01-02T00:00:00,60.0,5.11429147518147,1.2291247213379584e+16,1.3376042534349278e+24,,269.47678283804873,5.3834777719084155,ref_sp
2020-01-02T00:00:00,66.0,5.114221106437292,1.2268743732232192e+16,1.337581915580776e+24,,266.6318210215452,5.434036344019013,ref_sp
2020-01-02T00:00:00,72.0,5.114345351251231,1.225509325242368e+16,1.3374243976802092e+24,,266.4022786936972,5.565749602662392,ref_sp
2020-01-02T00:00:00,78.0,5.114257390321009,1.2232752980033536e+16,1.3372175923853203e+24,,265.63534762264686,5.572916978725957,ref_sp
2020-01-02T00:00:00,84.0,5.114352498076811,1.2229388946898944e+16,1.3372923881679317e+24,,264.355998511311,5.602957525608228,ref_sp
