date,lead_time_hours,metric_name,model_value,ref_value,n_levels,sp_method
2020-01-01T00:00:00,12,dry_mass_drift_pct_per_day,0.011796002637669202,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,effective_resolution_km,111.50466181627058,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,geostrophic_rmse,6.034004846715919,6.269044196913735,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,hydrostatic_rmse,271.2975914926388,274.12942593071796,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,small_scale_ratio,0.9808675244615455,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,spectral_divergence,0.0452632415958005,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,spectral_residual,0.048454476251826445,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,total_energy_drift_pct_per_day,0.01472549364691257,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,12,water_mass_drift_pct_per_day,-0.0665024481816962,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,dry_mass_drift_pct_per_day,0.0031926444872643752,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,effective_resolution_km,111.50466181627058,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,geostrophic_rmse,5.5671926846753,5.902284691943689,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,hydrostatic_rmse,260.06269032116575,274.8706391158487,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,small_scale_ratio,0.9544090589830686,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,spectral_divergence,0.3159738146182196,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,spectral_residual,0.12897805146754585,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,total_energy_drift_pct_per_day,-0.015410212321040659,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,120,water_mass_drift_pct_per_day,-0.3193955272273707,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,dry_mass_drift_pct_per_day,0.0018300362491231667,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,effective_resolution_km,111.50466181627058,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,geostrophic_rmse,5.664523427457886,5.867806079092114,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,hydrostatic_rmse,245.28141695969626,253.13923627827893,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,small_scale_ratio,0.9249290279963835,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,spectral_divergence,0.3170151100189381,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,spectral_residual,0.15710126803809743,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,total_energy_drift_pct_per_day,-0.0168129937900089,,13,hypsometric_msl_standard_atm
2020-01-01T00:00:00,240,water_mass_drift_pct_per_day,-0.18088838049450354,,13,hypsometric_msl_standard_atm
